index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.bild.de/politik/meinung-kommentare-kolumnen/mail-von-martenstein-liebe-baerbel-bas-6a95d41be93222a77575efaf,https://www.bild.de/politik/meinung-kommentare-kolumnen/mail-von-martenstein-liebe-baerbel-bas-6a95d41be93222a77575efaf,0,www.bild.de,"Mail von Martenstein - Liebe Bärbel Bas,","viele wundern sich darüber, dass Leute, die in Deutschland per Haftbefehl gesucht werden, von Ihrem Ministerium weiter Bürgergeld überwiesen kriegen …","https://images.bild.de/6a95d41be93222a77575efaf/1967f37b8c1396478fea83de0ee3f2ee,2a3e981?w=1280",2026-09-01T05:00:43Z,,"TTS-Player überspringenArtikel weiterlesenviele wundern sich darüber, dass Leute, die in Deutschland per Haftbefehl gesucht werden, von Ihrem Ministerium weiter Bürgergeld überwiesen kriegen. 
Ich w… [+1529 chars]",,de,'Bärbel Bas'
https://www.welt.de/politik/deutschland/article6a965fb5595e25e5c5e6ab91/umfrage-alice-weidel-faellt-in-politikerranking-deutlich-zurueck-auch-chrupalla-verschlechtert-sich.html,https://www.welt.de/politik/deutschland/article6a965fb5595e25e5c5e6ab91/umfrage-alice-weidel-faellt-in-politikerranking-deutlich-zurueck-auch-chrupalla-verschlechtert-sich.html,0,www.welt.de,Dämpfer kurz vor Landtagswahl – AfD-Chefin Weidel fällt in Politikerranking deutlich zurück,AfD-Chefin Alice Weidel verliert im Insa-Politikerranking an Beliebtheit. Auch Parteikollege Tino Chrupalla rutscht leicht ab. Vizekanzler Klingbeil kann dagegen zulegen.,https://images.welt.de/6a965fb5595e25e5c5e6ab91/f0ad3a98a4ad1c64f1579fed44edea21-master/ci16x9-w1200/605429726-jpg,2026-09-01T06:39:52Z,,"AfD-Chefin Alice Weidel verliert im Insa-Politikerranking an Beliebtheit. Auch Parteikollege Tino Chrupalla rutscht leicht ab. Vizekanzler Klingbeil kann dagegen zulegen.Klicken Sie hier, um sich Art… [+2755 chars]",,de,'Bärbel Bas'
https://www.welt.de/mediathek/talk/meine-welt-meine-meinung/video6a966903d32756d4be19aebc/trotz-haftbefehl-wie-kann-das-sein-dass-gesuchte-verbrecher-immer-noch-grundsicherung-bekommen.html,https://www.welt.de/mediathek/talk/meine-welt-meine-meinung/video6a966903d32756d4be19aebc/trotz-haftbefehl-wie-kann-das-sein-dass-gesuchte-verbrecher-immer-noch-grundsicherung-bekommen.html,0,www.welt.de,"Wie kann das sein, dass gesuchte Verbrecher immer noch Grundsicherung bekommen?",Per Haftbefehl gesucht werden - und trotzdem Grundsicherung vom Amt bekommen? Dagegen will die Bundesregierung vorgehen. Der Aktionsplan von Arbeitsministerin Bärbel Bas wurde trotz Ankündigung jedoch noch nicht vorgelegt. „Das kann doch nur eine deutsche Ges…,https://images.welt.de/6a966903d32756d4be19aebc/530da8c43d492192daae17ad2285d192/ci16x9-w1200/kirschbaum-png,2026-09-01T06:42:43Z,,Per Haftbefehl gesucht werden - und trotzdem Grundsicherung vom Amt bekommen? Dagegen will die Bundesregierung vorgehen. Der Aktionsplan von Arbeitsministerin Bärbel Bas wurde trotz Ankündigung jedoc… [+168 chars],,de,'Bärbel Bas'
https://www.focus.de/politik/ausland/indiens-praesident-modi-fordert-putin-auf-ukraine-krieg-zu-beenden_08deeccc-accc-4840-acf8-fdccc960ddca.html,https://www.focus.de/politik/ausland/indiens-praesident-modi-fordert-putin-auf-ukraine-krieg-zu-beenden_08deeccc-accc-4840-acf8-fdccc960ddca.html,0,www.focus.de,"Indiens Präsident Modi fordert Putin auf, Ukraine-Krieg zu beenden",Bei einem Treffen mit Wladimir Putin hat der indische Premierminister Narendra Modi öffentlich ein Ende des Ukraine-Kriegs gefordert.,"https://quadro.burda-forward.de/ctf/26137963-a588-47f3-8c7e-ab80425d2ca8.1cc44fa2-c84c-4bca-a4b7-2674afd9ad82.jpg?im=RegionOfInterestCrop=(1200,630),regionOfInterest=(1850,437)&hash=107f722bb84f08304edec6ecb5e37538a13f72f3823a7b5864f997751dae855e",2026-09-01T08:34:00Z,http://web.archive.org/web/20260901103533/https://www.focus.de/politik/ausland/indiens-praesident-modi-fordert-putin-auf-ukraine-krieg-zu-beenden_08deeccc-accc-4840-acf8-fdccc960ddca.html,"Wir müssen von einem endlosen Krieg zum Ende des Krieges, zur Einstellung der Feindseligkeiten übergehen, sagte Modi am Montag in Bischkek in Kirgisistan.
Der Premierminister betonte, Indien unterst… [+831 chars]",,de,'Putin'
https://www.brigitte.de/aktuell/gesellschaft/baerbel-bas---die-afd-lebt-davon--wut-zu-schueren--14101390.html,https://www.brigitte.de/aktuell/gesellschaft/baerbel-bas---die-afd-lebt-davon--wut-zu-schueren--14101390.html,0,www.brigitte.de,"Arbeitsministerin Bärbel Bas : ""In Sachsen-Anhalt darf es keine absolute Mehrheit geben für die AfD""","Hass, Kürzungen, Wahldebakel: Bärbel Bas im ehrlichsten Interview ihrer Karriere.",https://image.brigitte.de/14101648/t/yh/v1/w1440/r1.7778/-/bas-montage.png,2026-09-01T08:44:00Z,,"Hass, Kürzungen, Wahldebakel: Bärbel Bas im ehrlichsten Interview ihrer Karriere. 
Wir treffen Bärbel Bas im Bundesministerium für Arbeit und Soziales nahe dem Brandenburger Tor. Es ist der erste Ta… [+11064 chars]",,de,'Bärbel Bas'
https://post.rlsbb.cc/german-top-100-party-schlager-charts-2026-08-31/,https://post.rlsbb.cc/german-top-100-party-schlager-charts-2026-08-31/,0,post.rlsbb.cc,German Top 100 Party Schlager Charts (2026.08.31),Tracklist: 001. Maite Kelly - Ein Kuss In Paris002. Andrea Berg - Du Hast Mich Tausendmal Belogen (Rekord Mix 2026)003. Andrea Berg - Das Kann Uns Keiner Nehmen004. Helene Fischer - Heute Nacht005. Kerstin Ott - 1000 x Nein006. Beatrice Egli - Alibi007. Sonia…,,2026-09-01T09:11:11Z,,"Tracklist:
 001. Maite Kelly - Ein Kuss In Paris002. Andrea Berg - Du Hast Mich Tausendmal Belogen (Rekord Mix 2026)003. Andrea Berg - Das Kann Uns Keiner Nehmen004. Helene Fischer - Heute Nacht005.… [+4351 chars]",,de,'Helene Fischer'
https://www.morgenpost.de/berlin/article413026405/dienstwagen-check-rote-karte-fuer-kai-wegner-doch-es-gibt-einen-grund.html,https://www.morgenpost.de/berlin/article413026405/dienstwagen-check-rote-karte-fuer-kai-wegner-doch-es-gibt-einen-grund.html,0,www.morgenpost.de,Dienstwagen-Check: Rote Karte für Kai Wegner – doch es gibt einen Grund,Spitzenpolitiker legen laut Dienstwagen-Check beim Klimaschutz den Rückwärtsgang ein. Kai Wegner ist besonders umweltschädlich unterwegs – nicht ohne Grund.,https://img.sparknews.funkemedien.de/412544386/412544386_1787909494_v16_9_1600.jpeg,2026-09-01T12:05:04Z,,Spitzenpolitikerinnen und -politiker legen laut des aktuellen Dienstwagen-Checks der Deutschen Umwelthilfe (DUH) beim Klimaschutz wieder den Rückwärtsgang ein. Besonders Kai Wegner ist im Vergleich d… [+3694 chars],,de,'Bärbel Bas'
https://www.brigitte.de/aktuell/gesellschaft/spd-vorsitzende-baerbel-bas---natuerlich-frage-ich-mich-manchmal--wieso-tue-ich-mir-das-an---14101390.html,https://www.brigitte.de/aktuell/gesellschaft/spd-vorsitzende-baerbel-bas---natuerlich-frage-ich-mich-manchmal--wieso-tue-ich-mir-das-an---14101390.html,0,www.brigitte.de,"Arbeitsministerin Bärbel Bas : ""Natürlich frage ich mich manchmal: Wieso tue ich mir das an?""","Hass, Kürzungen, Wahldebakel: Bärbel Bas im ehrlichsten Interview ihrer Karriere.",https://image.brigitte.de/14101648/t/yh/v1/w1440/r1.7778/-/bas-montage.png,2026-09-01T13:12:00Z,,"Hass, Kürzungen, Wahldebakel: Bärbel Bas im ehrlichsten Interview ihrer Karriere. 
Wir treffen Bärbel Bas im Bundesministerium für Arbeit und Soziales nahe dem Brandenburger Tor. Es ist der erste Ta… [+11064 chars]",,de,'Bärbel Bas'
https://www.diepresse.com/41221333/xi-jinping-startet-seine-globale-charmeoffensive-mit-einer-klaren-an,https://www.diepresse.com/41221333/xi-jinping-startet-seine-globale-charmeoffensive-mit-einer-klaren-an,0,www.diepresse.com,Xi Jinping startet seine globale Charmeoffensive – mit einer klaren Botschaft an die Welt [premium],"Während US-Präsident Donald Trump seinen Verbündeten verschreckt, weitet Staatschef Xi Jinping Chinas Einfluss aus. Seine Reise führt ihn vom Gipfel der Shanghaier Organisation in Bischkek nach Kairo, Delhi –und als Höhepunkt in die USA.",https://img.diepresse.com/public/incoming/h8iqse-afpc6ye2t3jpg/alternates/WEBP_WIDE_1200/AFP_C6YE2T3.jpg,2026-09-01T17:58:01Z,http://web.archive.org/web/20260901193823/https://www.diepresse.com/41221333/xi-jinping-startet-seine-globale-charmeoffensive-mit-einer-klaren-an,"Eigentlich hatten sich die Staatschefs der Shanghaier Organisation für Zusammenarbeit (SOZ) versammelt, um das 25-jährige Bestehen ihres Bündnisses zu feiern. In Wirklichkeit war es eine Show, bei de… [+4107 chars]",,de,'Xi Jinping'
https://www.morgenpost.de/panorama/article412574945/james-bond-darsteller-nachfolge-007-callum-turner-jack-oconnell-jack-barton.html,https://www.morgenpost.de/panorama/article412574945/james-bond-darsteller-nachfolge-007-callum-turner-jack-oconnell-jack-barton.html,0,www.morgenpost.de,007-Nachfolge: „Sie suchen jemanden Jüngeren“ – das sind die neuen Bond-Favoriten,Seit fünf Jahren wartet die Filmwelt auf einen neuen James Bond. Nun verdichten sich die Gerüchte um drei mögliche 007-Kandidaten.,https://img.sparknews.funkemedien.de/412783633/412783633_1788341107_v16_9_1600.jpeg,2026-09-02T09:25:07Z,,<ul><li>Seit Daniel Craigs Abschied wird über seinen Nachfolger spekuliert.</li><li>Nun sollen Callum Turner und Jack OConnell zu den engsten Kandidaten zählen.</li><li>Gleichzeitig bringen neue Scre… [+6341 chars],,de,'Dua Lipa'
