,phrase,label,sentiment,subjectivity,language,count
US-Präsident,US-Präsident,LOC,-0.0525268817204301,0.06505376344086022,de,310
USA,USA,LOC,-0.0667577413479053,0.03551912568306011,de,183
Ukraine,Ukraine,LOC,-0.0404040404040404,0.045454545454545456,de,99
Israel,Israel,LOC,-0.04156626506024097,0.05421686746987952,de,83
Japan,Japan,LOC,-0.00020833333333332427,0.0,de,80
Frankreich,Frankreich,LOC,-0.03200000000000001,0.02666666666666667,de,75
den USA,den USA,LOC,-0.0014084507042253394,0.016901408450704227,de,71
New York,New York,LOC,-0.09333333333333332,0.03333333333333333,de,70
Berlin,Berlin,LOC,0.058196721311475415,0.040983606557377046,de,61
Deutschland,Deutschland,LOC,0.1454166666666667,0.008333333333333333,de,60
Russland,Russland,LOC,-0.17242424242424245,0.024242424242424242,de,55
Washington,Washington,LOC,0.06965811965811966,0.07692307692307693,de,39
US-Regierung,US-Regierung,LOC,0.07236842105263158,0.039473684210526314,de,38
Stockholm,Stockholm,LOC,0.15675675675675677,0.0,de,37
US-Präsidenten,US-Präsidenten,LOC,-0.0554054054054054,0.07837837837837838,de,37
Algerien,Algerien,LOC,-0.003571428571428578,0.0,de,35
Weißen Haus,Weißen Haus,LOC,-0.0357142857142857,0.04285714285714286,de,35
Venezuela,Venezuela,LOC,-0.11764705882352941,0.029411764705882353,de,34
Türkei,Türkei,LOC,0.0393939393939394,0.0,de,33
Großbritannien,Großbritannien,LOC,-0.03166666666666666,0.0,de,30
Argentinien,Argentinien,LOC,0.3033333333333334,0.03333333333333333,de,30
London,London,LOC,-0.12884615384615383,0.0,de,26
Trump,Trump,LOC,-0.05416666666666667,0.041666666666666664,de,24
Europa,Europa,LOC,0.05289855072463768,0.05797101449275362,de,23
Libanon,Libanon,LOC,-0.031818181818181815,0.0,de,22
Australien,Australien,LOC,0.02727272727272728,0.0,de,22
Ungarn,Ungarn,LOC,0.315909090909091,0.045454545454545456,de,22
Veröffentlichung,Veröffentlichung,LOC,-0.2119047619047619,0.0,de,21
Frankreichs,Frankreichs,LOC,0.06666666666666667,0.19047619047619047,de,21
Vatikan,Vatikan,LOC,0.16,0.0,de,20
Russlands,Russlands,LOC,-0.30526315789473685,0.0,de,19
Weiße Haus,Weiße Haus,LOC,0.14342105263157892,0.0,de,19
Los Angeles,Los Angeles,LOC,-0.08421052631578947,0.07894736842105263,de,19
Paris,Paris,LOC,0.18421052631578946,0.05263157894736842,de,19
China,China,LOC,-0.4131578947368421,0.02631578947368421,de,19
Royal Lodge,Royal Lodge,LOC,-0.37058823529411766,0.058823529411764705,de,17
