,phrase,label,sentiment,subjectivity,language,count
Alex Saab,Alex Saab,PER,-0.2,0.0,de,8
Iris Berben,Iris Berben,PER,-0.2125,0.0,de,8
Josh Brolin,Josh Brolin,PER,0.6285714285714287,0.0,de,7
Prinz Vincent,Prinz Vincent,PER,0.6,0.0,de,7
Laura Wontorra,Laura Wontorra,PER,0.0,0.0,de,6
Maja T,Maja T,PER,0.0,0.0,de,6
Christian Schwarz-Schilling,Christian Schwarz-Schilling,PER,-0.8333333333333334,0.0,de,6
Prinzessin Josephine,Prinzessin Josephine,PER,0.7,0.0,de,5
Donald Tusk,Donald Tusk,PER,0.2,0.0,de,5
Ungarns Wahlsieger,Ungarns Wahlsieger,PER,0.25,0.0,de,4
Kylie Jenner,Kylie Jenner,PER,0.175,0.0,de,4
Hauptdarstellerin Zendaya,Hauptdarstellerin Zendaya,PER,1.0,0.0,de,4
Liam Neeson,Liam Neeson,PER,0.0,0.0,de,4
Cole Tomas Allen,Cole Tomas Allen,PER,0.16249999999999998,0.0,de,4
Pamela Anderson,Pamela Anderson,PER,0.35,0.0,de,4
Kelly Family,Kelly Family,PER,0.6666666666666666,0.0,de,3
Siri Hustvedt,Siri Hustvedt,PER,0.5666666666666667,0.0,de,3
Ungarns Regierungschef,Ungarns Regierungschef,PER,-0.6666666666666666,0.0,de,3
Paul Lendvai,Paul Lendvai,PER,0.2333333333333333,0.0,de,3
Péter Nádas,Péter Nádas,PER,0.2333333333333333,0.3333333333333333,de,3
Diego Maradona,Diego Maradona,PER,0.0,0.0,de,3
Nikodemus Schnabel,Nikodemus Schnabel,PER,0.0,0.0,de,3
Tulsi Gabbard,Tulsi Gabbard,PER,-0.3333333333333333,0.0,de,3
Maric Verch,Maric Verch,PER,0.0,0.0,de,3
Senta Berger,Senta Berger,PER,0.0,0.0,de,3
Premier Starmer,Premier Starmer,PER,0.0,0.0,de,3
Victor Orban,Victor Orban,PER,0.9,0.0,de,3
Randy George,Randy George,PER,-0.4666666666666666,0.0,de,3
Frankreichs Außenminister,Frankreichs Außenminister,PER,-0.2333333333333333,0.0,de,3
Robert Fico,Robert Fico,PER,0.425,0.0,de,2
Daniel Rona,Daniel Rona,PER,0.5,0.0,de,2
Tom Marcham,Tom Marcham,PER,-0.5,0.5,de,2
Maike Kohl-Richter,Maike Kohl-Richter,PER,-0.7,0.0,de,2
Lars Feld,Lars Feld,PER,-0.425,0.0,de,2
Heribert Schwans,Heribert Schwans,PER,0.0,0.0,de,2
Peter Steinlechner,Peter Steinlechner,PER,0.7,0.0,de,2
Rosebush Pruning,Rosebush Pruning,PER,0.0,0.0,de,2
Nvidia Pathtracing,Nvidia Pathtracing,PER,0.0,0.0,de,2
Rory McIlroy,Rory McIlroy,PER,0.0,0.0,de,2
Ungarns Kurs,Ungarns Kurs,PER,0.0,0.0,de,2
Orbáns Abwahl,Orbáns Abwahl,PER,0.0,0.0,de,2
Orbáns Wahlniederlage,Orbáns Wahlniederlage,PER,0.0,0.0,de,2
königsblauen Anhänger,königsblauen Anhänger,PER,0.7,0.0,de,2
Kevin Warsh,Kevin Warsh,PER,0.5,0.0,de,2
Viktor Órban,Viktor Órban,PER,0.0,0.0,de,2
