,phrase,label,sentiment,subjectivity,language,count
EU,EU,ORG,-0.0009615384615384453,0.028846153846153848,de,52
Labour-Partei,Labour-Partei,ORG,-0.1346153846153846,0.1346153846153846,de,26
TTS-Player,TTS-Player,ORG,0.075,0.125,de,24
Trump,Trump,ORG,-0.04696969696969697,0.0,de,22
Ungarns,Ungarns,ORG,0.08157894736842104,0.10526315789473684,de,19
CBS,CBS,ORG,-0.0543859649122807,0.0,de,19
SC Freiburg,SC Freiburg,ORG,0.07368421052631575,0.0,de,19
Kirche,Kirche,ORG,-0.18888888888888886,0.05555555555555555,de,18
CDU,CDU,ORG,0.2323529411764706,0.0,de,17
Demokraten,Demokraten,ORG,-0.2,0.0,de,17
picture alliance,picture alliance,ORG,-0.12647058823529414,0.11764705882352941,de,17
Aston Villa,Aston Villa,ORG,0.034374999999999996,0.0,de,16
AfD,AfD,ORG,0.09687499999999999,0.0,de,16
Marine Le Pen,Marine Le Pen,ORG,0.056666666666666664,0.0,de,15
Partei,Partei,ORG,-0.13999999999999999,0.06666666666666667,de,15
britische Polizei,britische Polizei,ORG,-0.15,0.06666666666666667,de,15
GEO,GEO,ORG,1.0,0.0,de,15
Beatles,Beatles,ORG,0.11309523809523811,0.03571428571428571,de,14
Parlament,Parlament,ORG,0.08333333333333333,0.0,de,12
EU-Geldern,EU-Geldern,ORG,-0.025000000000000005,0.0,de,12
Republikanern,Republikanern,ORG,-0.5181818181818182,0.0,de,11
Apple,Apple,ORG,0.2545454545454545,0.14545454545454548,de,11
Abgeordneter,Abgeordneter,ORG,0.075,0.0,de,10
Spider-Noir,Spider-Noir,ORG,0.0,0.0,de,10
Truth Social,Truth Social,ORG,-0.3333333333333333,0.0,de,9
Labour,Labour,ORG,-0.18888888888888888,0.0,de,9
US-Geheimdienste,US-Geheimdienste,ORG,0.061111111111111116,0.16666666666666666,de,9
Grüne,Grüne,ORG,0.04444444444444443,0.0,de,9
US-Flagge,US-Flagge,ORG,0.07777777777777778,0.0,de,9
https://epaper.welt.de,https://epaper.welt.de,ORG,0.0,0.0,de,9
Tour,Tour,ORG,-0.15555555555555556,0.0,de,9
Unterhaus,Unterhaus,ORG,0.0,0.125,de,8
