,phrase,label,sentiment,subjectivity,language,count
Donald Trump,Donald Trump,PER,-0.010674690007293942,0.030634573304157548,de,457
Keir Starmer,Keir Starmer,PER,-0.06114457831325299,0.04819277108433735,de,166
Andy Burnham,Andy Burnham,PER,0.045833333333333316,0.025,de,120
Nicolas Cage,Nicolas Cage,PER,0.1313915857605178,0.05339805825242718,de,103
Prinz William,Prinz William,PER,0.0861842105263158,0.02741228070175438,de,76
Papst Leo XIV,Papst Leo XIV,PER,-0.06885245901639345,0.07923497267759562,de,61
Paul McCartney,Paul McCartney,PER,0.031321839080459775,0.09827586206896552,de,58
Péter Magyar,Péter Magyar,PER,0.09807692307692308,0.0,de,52
Mario Adorf,Mario Adorf,PER,-0.015686274509803925,0.0196078431372549,de,51
Stephen Colbert,Stephen Colbert,PER,-0.038297872340425525,0.0,de,47
Wolodymyr Selenskyj,Wolodymyr Selenskyj,PER,-0.10108695652173914,0.010869565217391304,de,46
Le Pen,Le Pen,PER,-0.07560975609756097,0.03048780487804878,de,41
Peter Phillips,Peter Phillips,PER,-0.03717948717948717,0.10683760683760685,de,39
Anne Hathaway,Anne Hathaway,PER,-0.12264957264957264,0.07521367521367522,de,39
Leo XIV,Leo XIV,PER,0.058571428571428566,0.04285714285714286,de,35
Olivia Rodrigo,Olivia Rodrigo,PER,0.07941176470588236,0.029411764705882353,de,34
James Bond,James Bond,PER,0.14032258064516132,0.0,de,31
Javier Bardem,Javier Bardem,PER,-0.002777777777777768,0.0,de,30
Sandra Maischberger,Sandra Maischberger,PER,-0.08035714285714284,0.0,de,28
König Charles III,König Charles III,PER,0.07777777777777777,0.0,de,27
Andrew Mountbatten-Windsor,Andrew Mountbatten-Windsor,PER,-0.12037037037037036,0.0,de,27
Donald Trumps,Donald Trumps,PER,0.12962962962962962,0.05555555555555555,de,27
Bill Pulte,Bill Pulte,PER,0.064,0.04,de,25
Viktor Orbán,Viktor Orbán,PER,0.06195652173913044,0.043478260869565216,de,23
Xi Jinping,Xi Jinping,PER,0.05652173913043478,0.08695652173913043,de,23
Friedrich Merz,Friedrich Merz,PER,0.08043478260869565,0.043478260869565216,de,23
Harriet Sperling,Harriet Sperling,PER,-0.04999999999999999,0.03968253968253968,de,21
Wladimir Putin,Wladimir Putin,PER,0.01625,0.0,de,20
Graham Platner,Graham Platner,PER,0.0425,0.05,de,20
Liveblog Ukrainekrieg,Liveblog Ukrainekrieg,PER,-0.1,0.0,de,20
Lisa Müller,Lisa Müller,PER,0.11999999999999997,0.1,de,20
