topic,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
Argentinien,-0.17080242100675386,1.0,-0.41425748586778677,1.0,1.0
Brasilien,-0.018680266536808154,0.2974625545491552,-0.3405212210715573,0.11565192929756694,3.0
China,1.0281251428293652,1.0,-0.5284188513712905,1.0,1.0
Deutschland,0.24716047023816556,0.9657100616115062,-0.006009043230985311,0.9113357569797372,165.0
EU,-0.1005400329619398,0.46624012699718953,-0.5885029654487225,0.1436590686200239,4.0
Frankreich,-0.02990668181506207,0.7084389788737683,-0.014085171268856866,1.049020002680577,76.0
Indien,-0.19863508692626178,0.7497657364817788,-0.2993853164923186,0.07657899293430373,4.0
Iran,-0.18347883963663886,0.858603863705373,0.08450221491854862,0.9600892954539623,15.0
Israel,0.3112229177836859,0.7909098244813945,-0.45965304591836686,0.13476906264649618,2.0
Kanada,-0.23769588192139599,1.0,-0.4645903683244143,1.0,1.0
Kuba,0.1545086619497742,1.0,-0.41425748586778677,1.0,1.0
Niederlande,0.03663297623197074,1.0,-0.36435692782687473,1.0,1.0
PuertoRico,-0.41904144843630126,0.9448526682397449,0.25191304394131675,1.5867366023001337,17.0
Russland,-0.621550160430734,1.0306948362942123,0.07285647892549107,0.9664073725958005,21.0
Türkei,0.4761249735570915,0.609716672259287,0.3493439897703879,0.7214750731581648,4.0
UK,0.24601705755141706,0.8335682087985099,-0.12900903273411396,0.7680077961814749,78.0
USA,-0.1675218369105328,1.0335170035440624,0.07264727131306892,1.0185513262022592,192.0
Ukraine,-0.1572883106938493,0.9416256341462571,0.004127395759278887,1.0922312011634436,82.0
Ungarn,0.799883873421984,1.056392638156406,-0.08994217842361522,0.8271648125127171,6.0
Vatikan,-0.4220518473178783,1.0,-0.5284188513712905,1.0,1.0
unknown,0.014042389701454817,1.0243526004894747,-0.003982595117854778,0.9956511894248601,409.0
