keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Peter Mandelson',de,unknown,#111111,#111111,2,0.604955777737
'Venezuelas Übergangspräsidentin',de,unknown,#111111,#111111,2,0.579122923240
'Liveblog USA',de,unknown,#111111,#111111,3,0.569208328155
'Chris Cuomo',de,unknown,#111111,#111111,2,0.506592049878
'Todd Blanche',de,unknown,#111111,#111111,2,0.505985483847
'Peter Attia',de,unknown,#111111,#111111,2,0.502385796142
'Epstein Files',de,unknown,#111111,#111111,3,0.488257368441
'Rob Reiner',de,unknown,#111111,#111111,3,0.487107659525
'Prinz Andrew',de,UK,#e838e8,#e838e8,3,0.486964492334
'Delcy Rodriguez',de,unknown,#111111,#111111,3,0.485951066604
'María Corina Machado',de,unknown,#111111,#111111,2,0.483740406173
'Keir Starmer',de,unknown,#111111,#111111,3,0.483591907421
'Renee Good',de,unknown,#111111,#111111,2,0.482236262671
'Nicolas Maduro',de,unknown,#111111,#111111,3,0.482132718275
'Tom Homan',de,unknown,#111111,#111111,3,0.481994946162
'Michele Reiner',de,unknown,#111111,#111111,2,0.481571690715
'Donald Trump',de,USA,#18e8e8,#18e8e8,3,0.481004111416
'Mark Kelly',de,unknown,#111111,#111111,2,0.480392466476
'Tim Walz',de,unknown,#111111,#111111,2,0.480085295372
'Virginia Giuffre',de,USA,#18e8e8,#18e8e8,3,0.479895714904
'Cilia Flores',de,unknown,#111111,#111111,3,0.479827037894
'Erika Kirk',de,USA,#18e8e8,#18e8e8,2,0.479484622389
'Delcy Rodríguez',de,unknown,#111111,#111111,3,0.479054482854
'Candace Owens',de,unknown,#111111,#111111,2,0.478042173794
'Friedrich Merz',de,Deutschland,#11dd44,#11dd44,3,0.477277649658
'Bruna Ferreira',de,unknown,#111111,#111111,1,0.476603525842
'Larry Summers',de,unknown,#111111,#111111,3,0.476161468327
'Pam Bondi',de,unknown,#111111,#111111,3,0.475994700196
'Papst Leo',de,USA,#18e8e8,#18e8e8,3,0.475790095992
'Renee Nicole Good',de,unknown,#111111,#111111,3,0.475468956376
'Kristi Noem',de,unknown,#111111,#111111,3,0.475093086053
'Alex Pretti',de,unknown,#111111,#111111,3,0.474374443773
'Karoline Leavitt',de,unknown,#111111,#111111,3,0.474332632097
'Andrew Mountbatten-Windsor',de,unknown,#111111,#111111,3,0.473126736761
'Ilhan Omar',de,unknown,#111111,#111111,3,0.472946040973
'Pete Hegseth',de,USA,#18e8e8,#18e8e8,3,0.472256885974
'Nicolás Maduro',de,unknown,#111111,#111111,3,0.471632145027
'Bari Weiss',de,unknown,#111111,#111111,2,0.471586620483
'Leo XIV',de,Vatikan,#58b8e8,#58b8e8,3,0.470862947103
'Jonathan Ross',de,unknown,#111111,#111111,2,0.470195031779
'Steve Witkoff',de,unknown,#111111,#111111,3,0.467457030293
'Islam Makhachev',de,unknown,#111111,#111111,2,0.465641649208
'Lisa Müller',de,unknown,#111111,#111111,2,0.463787775610
'Jacob Frey',de,unknown,#111111,#111111,3,0.462683090255
'Thomas Massie',de,unknown,#111111,#111111,2,0.462295656997
'James Comey',de,USA,#18e8e8,#18e8e8,2,0.461692763200
'Brigitte Bardot',de,unknown,#111111,#111111,3,0.461549675559
'Selenskyj',de,Ukraine,#e818e8,#e818e8,3,0.459677088569
'Tony Dokoupil',de,unknown,#111111,#111111,2,0.458006122800
'Kendrick Lamar',de,USA,#18e8e8,#18e8e8,2,0.456570527818
'Dua Lipa',de,UK,#e838e8,#e838e8,2,0.456234545857
'Omar Yaghi',de,Jordanien,#335588,#335588,2,0.456191925308
'Larry David',de,unknown,#111111,#111111,2,0.455404650685
'Laurent Nuñez',de,Frankreich,#e8e808,#e8e808,2,0.454516464019
'Boualem Sansal',de,Algerien,#22cc99,#22cc99,3,0.454327267701
'Fred Ramsdel',de,USA,#18e8e8,#18e8e8,2,0.453122468809
'Volker Wieland',de,Deutschland,#11dd44,#11dd44,2,0.451977313077
'Woody Allen',de,unknown,#111111,#111111,3,0.451264164883
'Helene Fischer',de,unknown,#111111,#111111,3,0.450818693546
'Richard Robson',de,Australien,#99aa33,#99aa33,2,0.450447782643
'Ghislaine Maxwell',de,unknown,#111111,#111111,3,0.450113086906
'Mario Adorf',de,unknown,#111111,#111111,1,0.449724049006
'Andrew Windsor',de,unknown,#111111,#111111,3,0.447726542366
'Veronika Grimm',de,Deutschland,#11dd44,#11dd44,2,0.447298441490
'Andrew Mountbatten Windsor',de,unknown,#111111,#111111,2,0.447212612942
'Le Pen',de,Frankreich,#e8e808,#e8e808,3,0.447207344655
'Javier Milei',de,Argentinien,#3355bb,#3355bb,3,0.446476369772
'Usha Vance',de,unknown,#111111,#111111,1,0.446052362821
'Mary E. Brunkow',de,USA,#18e8e8,#18e8e8,2,0.444045167886
'Dick Cheney',de,USA,#18e8e8,#18e8e8,2,0.443209739715
'Joel Mokyr',de,USA,#18e8e8,#18e8e8,2,0.441801687368
'Lecornu II',de,Frankreich,#e8e808,#e8e808,2,0.441708343350
'Wladimir Putin',de,Russland,#e81818,#e81818,3,0.440756898811
'Itamar Ben-Gvir',de,Israel,#8822dd,#8822dd,3,0.440183444773
'Nick Reiner',de,unknown,#111111,#111111,2,0.440126116635
'Heidi Klum',de,Deutschland,#11dd44,#11dd44,3,0.439691445831
'Sohn Nick',de,unknown,#111111,#111111,2,0.439513774952
'Susumu Kitagawa',de,Japan,#aa9933,#aa9933,3,0.438786138977
'Thomas Müller',de,unknown,#111111,#111111,3,0.438101848165
'Jeffrey Epstein',de,USA,#18e8e8,#18e8e8,3,0.437786835070
'Maria Corina Machado',de,Venezuela,#aa3399,#aa3399,2,0.437348319507
'RFK Jr',de,USA,#18e8e8,#18e8e8,2,0.437095897533
'Greta Thunberg',de,Schweden,#77dd11,#77dd11,3,0.436807540003
'Hailey Bieber',de,USA,#18e8e8,#18e8e8,2,0.436209530192
'Lionel Messi',de,Argentinien,#3355bb,#3355bb,3,0.435854076009
'Charlie Kirk',de,USA,#18e8e8,#18e8e8,3,0.435767091750
'Katherina Reiche',de,Deutschland,#11dd44,#11dd44,3,0.435218467908
'Mary Brunkow',de,USA,#18e8e8,#18e8e8,2,0.434750780467
'Ro Khanna',de,unknown,#111111,#111111,2,0.434335540475
'Sanae Takaichi',de,Japan,#aa9933,#aa9933,3,0.434219151921
'Jake Reiner',de,unknown,#111111,#111111,2,0.433965609440
'Valentina Shevchenko',de,unknown,#111111,#111111,1,0.433450392674
'Ben Shapiro',de,unknown,#111111,#111111,1,0.433102086861
'Melania Trump',de,USA,#18e8e8,#18e8e8,3,0.432970308328
'Quand Harry',de,unknown,#111111,#111111,1,0.432965963035
'Michele Singer',de,unknown,#111111,#111111,1,0.432898350789
